SLAId,ServiceId,Priority,TargetResolutionHours,EscalationThresholdHours
SLA001,SVC001,Low,120,78
SLA002,SVC001,Normal,72,46
SLA003,SVC001,High,48,31
SLA004,SVC001,Urgent,24,15
SLA005,SVC002,Low,120,78
SLA006,SVC002,Normal,72,46
SLA007,SVC002,High,48,31
SLA008,SVC002,Urgent,24,15
SLA009,SVC003,Low,120,78
SLA010,SVC003,Normal,72,46
SLA011,SVC003,High,48,31
SLA012,SVC003,Urgent,24,15
SLA013,SVC004,Low,120,78
SLA014,SVC004,Normal,72,46
SLA015,SVC004,High,48,31
SLA016,SVC004,Urgent,24,15
SLA017,SVC005,Low,120,78
SLA018,SVC005,Normal,72,46
SLA019,SVC005,High,48,31
SLA020,SVC005,Urgent,24,15
SLA021,SVC006,Low,120,78
SLA022,SVC006,Normal,72,46
SLA023,SVC006,High,48,31
SLA024,SVC006,Urgent,24,15
SLA025,SVC007,Low,120,78
SLA026,SVC007,Normal,72,46
SLA027,SVC007,High,48,31
SLA028,SVC007,Urgent,24,15
SLA029,SVC008,Low,120,78
SLA030,SVC008,Normal,72,46
SLA031,SVC008,High,48,31
SLA032,SVC008,Urgent,24,15
SLA033,SVC009,Low,120,78
SLA034,SVC009,Normal,72,46
SLA035,SVC009,High,48,31
SLA036,SVC009,Urgent,24,15
SLA037,SVC010,Low,120,78
SLA038,SVC010,Normal,72,46
SLA039,SVC010,High,48,31
SLA040,SVC010,Urgent,24,15
SLA041,SVC011,Low,120,78
SLA042,SVC011,Normal,72,46
SLA043,SVC011,High,48,31
SLA044,SVC011,Urgent,24,15
SLA045,SVC012,Low,120,78
SLA046,SVC012,Normal,72,46
SLA047,SVC012,High,48,31
SLA048,SVC012,Urgent,24,15
