EventId,RequestId,EventDateTime,ServiceId,AgencyId,ChannelId,EventType,Status,ProcessingDurationSeconds,SLAElapsedPercent
EVT000001,REQ004204,2025-06-01 09:12,SVC004,AGY002,CH002,Submitted,New,0,0.00
EVT000002,REQ003865,2025-06-01 09:13,SVC010,AGY006,CH003,Submitted,New,0,0.00
EVT000003,REQ000006,2025-06-01 09:20,SVC004,AGY002,CH003,Submitted,New,0,0.00
EVT000004,REQ002056,2025-06-01 09:22,SVC002,AGY001,CH001,Submitted,New,0,0.00
EVT000005,REQ006401,2025-06-01 09:26,SVC006,AGY005,CH003,Submitted,New,0,0.00
EVT000006,REQ000539,2025-06-01 09:30,SVC007,AGY007,CH003,Submitted,New,0,0.00
EVT000007,REQ002056,2025-06-01 09:40,SVC002,AGY001,CH001,Assigned,In Progress,1124,0.65
EVT000008,REQ000006,2025-06-01 09:59,SVC004,AGY002,CH003,Assigned,In Progress,2340,0.54
EVT000009,REQ000691,2025-06-01 10:00,SVC008,AGY008,CH001,Submitted,New,0,0.00
EVT000010,REQ004204,2025-06-01 10:09,SVC004,AGY002,CH002,Assigned,In Progress,3466,1.34
EVT000011,REQ003865,2025-06-01 10:26,SVC010,AGY006,CH003,Assigned,In Progress,4437,1.03
EVT000012,REQ000691,2025-06-01 10:39,SVC008,AGY008,CH001,Assigned,In Progress,2351,0.54
EVT000013,REQ006401,2025-06-01 10:40,SVC006,AGY005,CH003,Assigned,In Progress,4473,1.73
EVT000014,REQ000233,2025-06-01 10:58,SVC003,AGY006,CH002,Submitted,New,0,0.00
EVT000015,REQ007748,2025-06-01 11:09,SVC001,AGY003,CH002,Submitted,New,0,0.00
EVT000016,REQ003176,2025-06-01 11:16,SVC003,AGY006,CH004,Submitted,New,0,0.00
EVT000017,REQ000539,2025-06-01 11:18,SVC007,AGY007,CH003,Assigned,In Progress,6507,2.51
EVT000018,REQ005413,2025-06-01 11:18,SVC011,AGY002,CH003,Submitted,New,0,0.00
EVT000019,REQ000233,2025-06-01 11:45,SVC003,AGY006,CH002,Assigned,In Progress,2837,1.09
EVT000020,REQ006716,2025-06-01 11:57,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000021,REQ007748,2025-06-01 12:12,SVC001,AGY003,CH002,Assigned,In Progress,3818,1.47
EVT000022,REQ003176,2025-06-01 12:22,SVC003,AGY006,CH004,Assigned,In Progress,3996,1.54
EVT000023,REQ006716,2025-06-01 12:49,SVC004,AGY002,CH001,Assigned,In Progress,3172,1.22
EVT000024,REQ005413,2025-06-01 12:54,SVC011,AGY002,CH003,Assigned,In Progress,5772,2.23
EVT000025,REQ006275,2025-06-01 14:41,SVC006,AGY005,CH001,Submitted,New,0,0.00
EVT000026,REQ008904,2025-06-01 15:00,SVC004,AGY002,CH001,Submitted,New,0,0.00
EVT000027,REQ006275,2025-06-01 15:37,SVC006,AGY005,CH001,Assigned,In Progress,3401,0.79
EVT000028,REQ008904,2025-06-01 15:53,SVC004,AGY002,CH001,Assigned,In Progress,3231,1.25
EVT000029,REQ005659,2025-06-01 16:45,SVC001,AGY003,CH005,Submitted,New,0,0.00
EVT000030,REQ005659,2025-06-01 18:41,SVC001,AGY003,CH005,Assigned,In Progress,6976,2.69
EVT000031,REQ009838,2025-06-01 20:28,SVC002,AGY001,CH002,Submitted,New,0,0.00
EVT000032,REQ007266,2025-06-01 20:33,SVC001,AGY003,CH003,Submitted,New,0,0.00
EVT000033,REQ009838,2025-06-01 21:44,SVC002,AGY001,CH002,Assigned,In Progress,4603,1.78
EVT000034,REQ001115,2025-06-01 21:50,SVC002,AGY001,CH005,Submitted,New,0,0.00
EVT000035,REQ007266,2025-06-01 22:11,SVC001,AGY003,CH003,Assigned,In Progress,5920,2.28
EVT000036,REQ001115,2025-06-01 23:01,SVC002,AGY001,CH005,Assigned,In Progress,4294,2.48
EVT000037,REQ002056,2025-06-02 01:52,SVC002,AGY001,CH001,Resolved,Closed,58276,34.38
EVT000038,REQ009459,2025-06-02 07:28,SVC012,AGY004,CH001,Submitted,New,0,0.00
EVT000039,REQ002428,2025-06-02 07:30,SVC006,AGY005,CH002,Submitted,New,0,0.00
EVT000040,REQ009459,2025-06-02 08:13,SVC012,AGY004,CH001,Assigned,In Progress,2700,0.62
EVT000041,REQ002340,2025-06-02 08:45,SVC004,AGY002,CH002,Submitted,New,0,0.00
EVT000042,REQ005325,2025-06-02 08:56,SVC009,AGY001,CH002,Submitted,New,0,0.00
EVT000043,REQ007121,2025-06-02 09:07,SVC004,AGY002,CH005,Submitted,New,0,0.00
EVT000044,REQ002340,2025-06-02 09:17,SVC004,AGY002,CH002,Assigned,In Progress,1943,0.75
EVT000045,REQ005594,2025-06-02 09:19,SVC003,AGY006,CH001,Submitted,New,0,0.00
EVT000046,REQ002428,2025-06-02 09:25,SVC006,AGY005,CH002,Assigned,In Progress,6913,4.00
EVT000047,REQ005325,2025-06-02 09:54,SVC009,AGY001,CH002,Assigned,In Progress,3511,1.35
EVT000048,REQ002225,2025-06-02 10:00,SVC011,AGY002,CH002,Submitted,New,0,0.00
EVT000049,REQ007121,2025-06-02 10:00,SVC004,AGY002,CH005,Assigned,In Progress,3189,0.74
EVT000050,REQ003176,2025-06-02 10:35,SVC003,AGY006,CH004,Resolved,Resolved,79944,32.38
EVT000051,REQ001175,2025-06-02 10:48,SVC012,AGY004,CH002,Submitted,New,0,0.00
EVT000052,REQ005594,2025-06-02 11:05,SVC003,AGY006,CH001,Assigned,In Progress,6397,2.47
EVT000053,REQ005390,2025-06-02 11:19,SVC003,AGY006,CH002,Submitted,New,0,0.00
EVT000054,REQ006441,2025-06-02 11:24,SVC001,AGY003,CH001,Submitted,New,0,0.00
EVT000055,REQ001300,2025-06-02 11:32,SVC001,AGY003,CH003,Submitted,New,0,0.00
EVT000056,REQ002225,2025-06-02 11:34,SVC011,AGY002,CH002,Assigned,In Progress,5653,2.18
EVT000057,REQ007266,2025-06-02 11:36,SVC001,AGY003,CH003,Resolved,Resolved,48260,20.90
EVT000058,REQ005639,2025-06-02 11:54,SVC006,AGY005,CH002,Submitted,New,0,0.00
EVT000059,REQ008079,2025-06-02 11:57,SVC006,AGY005,CH004,Submitted,New,0,0.00
EVT000060,REQ005390,2025-06-02 12:01,SVC003,AGY006,CH002,Assigned,In Progress,2554,0.59
EVT000061,REQ003427,2025-06-02 12:04,SVC002,AGY001,CH002,Submitted,New,0,0.00
EVT000062,REQ001300,2025-06-02 12:13,SVC001,AGY003,CH003,Assigned,In Progress,2500,0.96
EVT000063,REQ008079,2025-06-02 12:15,SVC006,AGY005,CH004,Assigned,In Progress,1106,0.43
EVT000064,REQ001175,2025-06-02 12:16,SVC012,AGY004,CH002,Assigned,In Progress,5315,2.05
EVT000065,REQ003265,2025-06-02 12:22,SVC012,AGY004,CH005,Submitted,New,0,0.00
EVT000066,REQ003427,2025-06-02 12:22,SVC002,AGY001,CH002,Assigned,In Progress,1131,0.65
EVT000067,REQ006441,2025-06-02 12:31,SVC001,AGY003,CH001,Assigned,In Progress,4044,1.56
EVT000068,REQ004472,2025-06-02 12:51,SVC006,AGY005,CH002,Submitted,New,0,0.00
EVT000069,REQ005639,2025-06-02 13:08,SVC006,AGY005,CH002,Assigned,In Progress,4458,1.72
EVT000070,REQ004874,2025-06-02 13:09,SVC004,AGY002,CH003,Submitted,New,0,0.00
EVT000071,REQ004487,2025-06-02 13:13,SVC011,AGY002,CH001,Submitted,New,0,0.00
EVT000072,REQ006115,2025-06-02 13:25,SVC006,AGY005,CH002,Submitted,New,0,0.00
EVT000073,REQ003265,2025-06-02 13:27,SVC012,AGY004,CH005,Assigned,In Progress,3948,0.91
EVT000074,REQ004633,2025-06-02 13:35,SVC008,AGY008,CH002,Submitted,New,0,0.00
EVT000075,REQ004487,2025-06-02 13:50,SVC011,AGY002,CH001,Assigned,In Progress,2247,0.87
