RequestId,DateKey,ServiceId,AgencyId,ChannelId,SLAId,CitizenSegment,SubmittedDateTime,ResolvedDateTime,Status,Priority,AssignedTeam,ResolutionHours,IsSLABreached,BacklogFlag
REQ000001,20260320,SVC012,AGY004,CH002,SLA046,Visitor,2026-03-20 12:34,,In Progress,Normal,Mobility Response Team,,False,True
REQ000002,20250731,SVC002,AGY001,CH001,SLA006,Community Partner,2025-07-31 17:37,2025-08-06 03:12,Resolved,Normal,Citizen Portal Team,129.59,True,False
REQ000003,20260503,SVC004,AGY002,CH001,SLA013,Community Partner,2026-05-03 15:38,,In Progress,Low,Case Operations Team,,False,True
REQ000004,20251022,SVC002,AGY001,CH003,SLA006,Business User,2025-10-22 10:29,2025-10-24 15:40,Closed,Normal,Citizen Portal Team,53.19,False,False
REQ000005,20260430,SVC012,AGY004,CH005,SLA047,Business User,2026-04-30 09:03,,New,High,Mobility Response Team,,False,True
REQ000006,20250601,SVC004,AGY002,CH003,SLA013,Visitor,2025-06-01 09:20,2025-06-03 13:45,Resolved,Low,Case Operations Team,52.42,False,False
REQ000007,20251112,SVC006,AGY005,CH001,SLA023,Senior,2025-11-12 16:09,2025-11-14 07:49,Resolved,High,Housing Assistance Team,39.68,False,False
REQ000008,20251227,SVC010,AGY006,CH001,SLA040,Business User,2025-12-27 11:30,2025-12-27 17:16,Resolved,Urgent,Grant Operations Team,5.77,False,False
REQ000009,20260525,SVC001,AGY003,CH003,SLA003,Senior,2026-05-25 20:49,2026-05-30 16:07,Closed,High,Licensing Review Team,115.30,True,False
REQ000010,20250716,SVC005,AGY004,CH004,SLA017,Senior,2025-07-16 19:13,2025-07-21 05:51,Resolved,Low,Mobility Response Team,106.64,False,False
REQ000011,20260121,SVC004,AGY002,CH001,SLA014,Community Partner,2026-01-21 08:13,2026-01-24 18:45,Resolved,Normal,Case Operations Team,82.54,False,False
REQ000012,20260325,SVC008,AGY008,CH002,SLA030,Senior,2026-03-25 08:33,,In Progress,Normal,Workforce Case Team,,False,True
REQ000013,20251031,SVC006,AGY005,CH001,SLA022,Resident,2025-10-31 19:32,2025-11-06 19:51,Closed,Normal,Housing Assistance Team,144.32,True,False
REQ000014,20251010,SVC009,AGY001,CH002,SLA033,Resident,2025-10-10 10:14,2025-10-11 21:02,Closed,Low,Citizen Portal Team,34.81,False,False
REQ000015,20251024,SVC004,AGY002,CH004,SLA014,Resident,2025-10-24 14:34,2025-10-27 20:23,Closed,Normal,Case Operations Team,77.82,False,False
REQ000016,20251113,SVC004,AGY002,CH001,SLA015,Business User,2025-11-13 11:54,2025-11-15 19:01,Resolved,High,Case Operations Team,55.13,False,False
REQ000017,20251006,SVC010,AGY006,CH001,SLA040,Senior,2025-10-06 12:15,2025-10-07 07:41,Resolved,Urgent,Grant Operations Team,19.44,False,False
REQ000018,20250826,SVC006,AGY005,CH002,SLA021,Business User,2025-08-26 14:26,2025-09-07 10:21,Closed,Low,Housing Assistance Team,283.93,True,False
REQ000019,20260504,SVC002,AGY001,CH004,SLA006,Business User,2026-05-04 19:01,2026-05-07 06:38,Closed,Normal,Citizen Portal Team,59.62,False,False
REQ000020,20250917,SVC008,AGY008,CH005,SLA030,Senior,2025-09-17 15:09,2025-09-22 17:41,Resolved,Normal,Workforce Case Team,122.54,True,False
REQ000021,20260512,SVC007,AGY007,CH004,SLA028,Caregiver,2026-05-12 20:49,2026-05-13 11:09,Closed,Urgent,Health Service Desk,14.35,False,False
REQ000022,20260412,SVC006,AGY005,CH003,SLA023,Senior,2026-04-12 10:11,2026-04-14 07:34,Resolved,High,Housing Assistance Team,45.39,False,False
REQ000023,20251226,SVC011,AGY002,CH005,SLA042,Visitor,2025-12-26 17:57,2025-12-29 06:47,Resolved,Normal,Case Operations Team,60.84,False,False
